chave,NOME,UF,GEOCOD_IBGE,COD_TSE,AJUSTE
ac acrelandia,ACRELÂNDIA,AC,1200013,1120,
ac assis brasil,ASSIS BRASIL,AC,1200054,1570,
ac brasileia,BRASILÉIA,AC,1200104,1058,
ac bujari,BUJARI,AC,1200138,1007,
ac capixaba,CAPIXABA,AC,1200179,1015,
ac cruzeiro do sul,CRUZEIRO DO SUL,AC,1200203,1074,
ac epitaciolandia,EPITACIOLÂNDIA,AC,1200252,1112,
ac feijo,FEIJÓ,AC,1200302,1139,
ac jordao,JORDÃO,AC,1200328,1104,
ac mancio lima,MÂNCIO LIMA,AC,1200336,1090,
ac manoel urbano,MANOEL URBANO,AC,1200344,1554,
ac marechal thaumaturgo,MARECHAL THAUMATURGO,AC,1200351,1040,
ac placido de castro,PLÁCIDO DE CASTRO,AC,1200385,1511,
ac porto acre,PORTO ACRE,AC,1200807,1023,
ac porto walter,PORTO WALTER,AC,1200393,1066,
ac rio branco,RIO BRANCO,AC,1200401,1392,
ac rodrigues alves,RODRIGUES ALVES,AC,1200427,1082,
ac santa rosa do purus,SANTA ROSA DO PURUS,AC,1200435,1031,
ac sena madureira,SENA MADUREIRA,AC,1200500,1457,
ac senador guiomard,SENADOR GUIOMARD,AC,1200450,1538,
ac tarauaca,TARAUACÁ,AC,1200609,1473,
ac xapuri,XAPURI,AC,1200708,1490,
al agua branca,ÁGUA BRANCA,AL,2700102,27014,
al anadia,ANADIA,AL,2700201,27030,
al arapiraca,ARAPIRACA,AL,2700300,27057,
al atalaia,ATALAIA,AL,2700409,27073,
al barra de santo antonio,BARRA DE SANTO ANTÔNIO,AL,2700508,27090,
al barra de sao miguel,BARRA DE SÃO MIGUEL,AL,2700607,27111,
al batalha,BATALHA,AL,2700706,27138,
al belem,BELÉM,AL,2700805,27154,
al belo monte,BELO MONTE,AL,2700904,27170,
al boca da mata,BOCA DA MATA,AL,2701001,27197,
al branquinha,BRANQUINHA,AL,2701100,27219,
al cacimbinhas,CACIMBINHAS,AL,2701209,27235,
al cajueiro,CAJUEIRO,AL,2701308,27251,
al campestre,CAMPESTRE,AL,2701357,27081,
al campo alegre,CAMPO ALEGRE,AL,2701407,27278,
al campo grande,CAMPO GRANDE,AL,2701506,27294,
al canapi,CANAPI,AL,2701605,27316,
al capela,CAPELA,AL,2701704,27332,
al carneiros,CARNEIROS,AL,2701803,27359,
al cha preta,CHÃ PRETA,AL,2701902,27375,
al coite do noia,COITÉ DO NÓIA,AL,2702009,27391,
al colonia leopoldina,COLÔNIA LEOPOLDINA,AL,2702108,27413,
al coqueiro seco,COQUEIRO SECO,AL,2702207,27430,
al coruripe,CORURIPE,AL,2702306,27456,
al craibas,CRAÍBAS,AL,2702355,28894,
al delmiro gouveia,DELMIRO GOUVEIA,AL,2702405,27472,
al dois riachos,DOIS RIACHOS,AL,2702504,27499,
al estrela de alagoas,ESTRELA DE ALAGOAS,AL,2702553,27049,
al feira grande,FEIRA GRANDE,AL,2702603,27510,
al feliz deserto,FELIZ DESERTO,AL,2702702,27537,
al flexeiras,FLEXEIRAS,AL,2702801,27553,
al girau do ponciano,GIRAU DO PONCIANO,AL,2702900,27570,
al ibateguara,IBATEGUARA,AL,2703007,27596,
al igaci,IGACI,AL,2703106,27618,
al igreja nova,IGREJA NOVA,AL,2703205,27634,
al inhapi,INHAPI,AL,2703304,27650,
al jacare dos homens,JACARÉ DOS HOMENS,AL,2703403,27677,
al jacuipe,JACUÍPE,AL,2703502,27693,
al japaratinga,JAPARATINGA,AL,2703601,27715,
al jaramataia,JARAMATAIA,AL,2703700,27731,
al jequia da praia,JEQUIÁ DA PRAIA,AL,2703759,27065,
al joaquim gomes,JOAQUIM GOMES,AL,2703809,27758,
al jundia,JUNDIÁ,AL,2703908,27774,
al junqueiro,JUNQUEIRO,AL,2704005,27790,
al lagoa da canoa,LAGOA DA CANOA,AL,2704104,27812,
al limoeiro de anadia,LIMOEIRO DE ANADIA,AL,2704203,27839,
al maceio,MACEIÓ,AL,2704302,27855,
al major isidoro,MAJOR ISIDORO,AL,2704401,27871,
al mar vermelho,MAR VERMELHO,AL,2704906,27979,
al maragogi,MARAGOGI,AL,2704500,27898,
al maravilha,MARAVILHA,AL,2704609,27910,
al marechal deodoro,MARECHAL DEODORO,AL,2704708,27936,
al maribondo,MARIBONDO,AL,2704807,27952,
al mata grande,MATA GRANDE,AL,2705002,27995,
al matriz de camaragibe,MATRIZ DE CAMARAGIBE,AL,2705101,28010,
al messias,MESSIAS,AL,2705200,28037,
al minador do negrao,MINADOR DO NEGRÃO,AL,2705309,28053,
al monteiropolis,MONTEIRÓPOLIS,AL,2705408,28070,
al murici,MURICI,AL,2705507,28096,
al novo lino,NOVO LINO,AL,2705606,28118,
al olho dagua das flores,OLHO D'ÁGUA DAS FLORES,AL,2705705,28134,
al olho dagua do casado,OLHO D'ÁGUA DO CASADO,AL,2705804,28150,
al olho dagua grande,OLHO D'ÁGUA GRANDE,AL,2705903,28177,
al olivenca,OLIVENÇA,AL,2706000,28193,
al ouro branco,OURO BRANCO,AL,2706109,28215,
al palestina,PALESTINA,AL,2706208,28231,
al palmeira dos indios,PALMEIRA DOS ÍNDIOS,AL,2706307,28258,
al pao de acucar,PÃO DE AÇÚCAR,AL,2706406,28274,
al pariconha,PARICONHA,AL,2706422,27022,
al paripueira,PARIPUEIRA,AL,2706448,27006,
al passo de camaragibe,PASSO DE CAMARAGIBE,AL,2706505,28290,
al paulo jacinto,PAULO JACINTO,AL,2706604,28312,
al penedo,PENEDO,AL,2706703,28339,
al piacabucu,PIAÇABUÇU,AL,2706802,28355,
al pilar,PILAR,AL,2706901,28371,
al pindoba,PINDOBA,AL,2707008,28398,
al piranhas,PIRANHAS,AL,2707107,28410,
al poco das trincheiras,POÇO DAS TRINCHEIRAS,AL,2707206,28436,
al porto calvo,PORTO CALVO,AL,2707305,28452,
al porto de pedras,PORTO DE PEDRAS,AL,2707404,28479,
al porto real do colegio,PORTO REAL DO COLÉGIO,AL,2707503,28495,
al quebrangulo,QUEBRANGULO,AL,2707602,28517,
al rio largo,RIO LARGO,AL,2707701,28533,
al roteiro,ROTEIRO,AL,2707800,28550,
al santa luzia do norte,SANTA LUZIA DO NORTE,AL,2707909,28576,
al santana do ipanema,SANTANA DO IPANEMA,AL,2708006,28592,
al santana do mundau,SANTANA DO MUNDAÚ,AL,2708105,28614,
al sao bras,SÃO BRÁS,AL,2708204,28630,
al sao jose da laje,SÃO JOSÉ DA LAJE,AL,2708303,28657,
al sao jose da tapera,SÃO JOSÉ DA TAPERA,AL,2708402,28673,
al sao luis do quitunde,SÃO LUÍS DO QUITUNDE,AL,2708501,28690,
al sao miguel dos campos,SÃO MIGUEL DOS CAMPOS,AL,2708600,28711,
al sao miguel dos milagres,SÃO MIGUEL DOS MILAGRES,AL,2708709,28738,
al sao sebastiao,SÃO SEBASTIÃO,AL,2708808,28754,
al satuba,SATUBA,AL,2708907,28770,
al senador rui palmeira,SENADOR RUI PALMEIRA,AL,2708956,28916,
al tanque darca,TANQUE D'ARCA,AL,2709004,28797,
al taquarana,TAQUARANA,AL,2709103,28819,
al teotonio vilela,TEOTÔNIO VILELA,AL,2709152,28932,
al traipu,TRAIPU,AL,2709202,28835,
al uniao dos palmares,UNIÃO DOS PALMARES,AL,2709301,28851,
al vicosa,VIÇOSA,AL,2709400,28878,
am alvaraes,ALVARÃES,AM,1300029,2895,
am amatura,AMATURÁ,AM,1300060,2917,
am anama,ANAMÃ,AM,1300086,2933,
am anori,ANORI,AM,1300102,2038,
am apui,APUÍ,AM,1300144,2003,
am atalaia do norte,ATALAIA DO NORTE,AM,1300201,2054,
am autazes,AUTAZES,AM,1300300,2070,
am barcelos,BARCELOS,AM,1300409,2097,
am barreirinha,BARREIRINHA,AM,1300508,2119,
am benjamin constant,BENJAMIN CONSTANT,AM,1300607,2135,
am beruri,BERURI,AM,1300631,2950,
am boa vista do ramos,BOA VISTA DO RAMOS,AM,1300680,2976,
am boca do acre,BOCA DO ACRE,AM,1300706,2151,
am borba,BORBA,AM,1300805,2178,
am caapiranga,CAAPIRANGA,AM,1300839,2992,
am canutama,CANUTAMA,AM,1300904,2194,
am carauari,CARAUARI,AM,1301001,2216,
am careiro,CAREIRO,AM,1301100,2232,
am careiro da varzea,CAREIRO DA VÁRZEA,AM,1301159,2046,
am coari,COARI,AM,1301209,2259,
am codajas,CODAJÁS,AM,1301308,2275,
am eirunepe,EIRUNEPÉ,AM,1301407,2291,
am envira,ENVIRA,AM,1301506,2313,
am fonte boa,FONTE BOA,AM,1301605,2330,
am guajara,GUAJARÁ,AM,1301654,2020,
am humaita,HUMAITÁ,AM,1301704,2356,
am ipixuna,IPIXUNA,AM,1301803,2399,
am iranduba,IRANDUBA,AM,1301852,98353,
am itacoatiara,ITACOATIARA,AM,1301902,2410,
am itamarati,ITAMARATI,AM,1301951,98370,
am itapiranga,ITAPIRANGA,AM,1302009,2437,
am japura,JAPURÁ,AM,1302108,2453,
am jurua,JURUÁ,AM,1302207,2470,
am jutai,JUTAÍ,AM,1302306,2496,
am labrea,LÁBREA,AM,1302405,2518,
am manacapuru,MANACAPURU,AM,1302504,2534,
am manaquiri,MANAQUIRI,AM,1302553,98396,
am manaus,MANAUS,AM,1302603,2550,
am manicore,MANICORÉ,AM,1302702,2577,
am maraa,MARAÃ,AM,1302801,2593,
am maues,MAUÉS,AM,1302900,2615,
am nhamunda,NHAMUNDÁ,AM,1303007,2631,
am nova olinda do norte,NOVA OLINDA DO NORTE,AM,1303106,2658,
am novo airao,NOVO AIRÃO,AM,1303205,2011,
am novo aripuana,NOVO ARIPUANÃ,AM,1303304,2674,
am parintins,PARINTINS,AM,1303403,2690,
am pauini,PAUINI,AM,1303502,2712,
am presidente figueiredo,PRESIDENTE FIGUEIREDO,AM,1303536,98418,
am rio preto da eva,RIO PRETO DA EVA,AM,1303569,98434,
am santa isabel do rio negro,SANTA ISABEL DO RIO NEGRO,AM,1303601,2372,
am santo antonio do ica,SANTO ANTÔNIO DO IÇÁ,AM,1303700,2739,
am sao gabriel da cachoeira,SÃO GABRIEL DA CACHOEIRA,AM,1303809,2836,
am sao paulo de olivenca,SÃO PAULO DE OLIVENÇA,AM,1303908,2755,
am sao sebastiao do uatuma,SÃO SEBASTIÃO DO UATUMÃ,AM,1303957,98450,
am silves,SILVES,AM,1304005,2771,
am tabatinga,TABATINGA,AM,1304062,98477,
am tapaua,TAPAUÁ,AM,1304104,2798,
am tefe,TEFÉ,AM,1304203,2810,
am tonantins,TONANTINS,AM,1304237,98515,
am uarini,UARINI,AM,1304260,98493,
am urucara,URUCARÁ,AM,1304302,2852,
am urucurituba,URUCURITUBA,AM,1304401,2879,
ap agua branca do amapari,ÁGUA BRANCA DO AMAPARI,AP,1600154,6084,S
ap amapa,AMAPÁ,AP,1600105,6017,
ap calcoene,CALÇOENE,AP,1600204,6033,
ap cutias,CUTIAS,AP,1600212,6068,
ap ferreira gomes,FERREIRA GOMES,AP,1600238,6114,
ap itaubal,ITAUBAL,AP,1600253,6041,
ap laranjal do jari,LARANJAL DO JARI,AP,1600279,6130,
ap macapa,MACAPÁ,AP,1600303,6050,
ap mazagao,MAZAGÃO,AP,1600402,6076,
ap oiapoque,OIAPOQUE,AP,1600501,6092,
ap porto grande,PORTO GRANDE,AP,1600535,6025,
ap pracuuba,PRACUÚBA,AP,1600550,6009,
ap santana,SANTANA,AP,1600600,6157,
ap serra do navio,SERRA DO NAVIO,AP,1600055,6106,
ap tartarugalzinho,TARTARUGALZINHO,AP,1600709,6173,
ap vitoria do jari,VITÓRIA DO JARI,AP,1600808,6122,
ba abaira,ABAÍRA,BA,2900108,33014,
ba abare,ABARÉ,BA,2900207,33030,
ba acajutiba,ACAJUTIBA,BA,2900306,33057,
ba adustina,ADUSTINA,BA,2900355,33065,
ba agua fria,ÁGUA FRIA,BA,2900405,33073,
ba aiquara,AIQUARA,BA,2900603,33111,
ba alagoinhas,ALAGOINHAS,BA,2900702,33138,
ba alcobaca,ALCOBAÇA,BA,2900801,33154,
ba almadina,ALMADINA,BA,2900900,33170,
ba amargosa,AMARGOSA,BA,2901007,33197,
ba amelia rodrigues,AMÉLIA RODRIGUES,BA,2901106,33219,
ba america dourada,AMÉRICA DOURADA,BA,2901155,30716,
ba anage,ANAGÉ,BA,2901205,33235,
ba andarai,ANDARAÍ,BA,2901304,33251,
ba andorinha,ANDORINHA,BA,2901353,33260,
ba angical,ANGICAL,BA,2901403,33278,
ba anguera,ANGUERA,BA,2901502,33294,
ba antas,ANTAS,BA,2901601,33316,
ba antonio cardoso,ANTÔNIO CARDOSO,BA,2901700,33332,
ba antonio goncalves,ANTÔNIO GONÇALVES,BA,2901809,33359,
ba apora,APORÁ,BA,2901908,33375,
ba apuarema,APUAREMA,BA,2901957,33405,
ba aracas,ARAÇÁS,BA,2902054,33383,
ba aracatu,ARACATU,BA,2902005,33391,
ba araci,ARACI,BA,2902104,33413,
ba aramari,ARAMARI,BA,2902203,33430,
ba arataca,ARATACA,BA,2902252,30732,
ba aratuipe,ARATUÍPE,BA,2902302,33456,
ba aurelino leal,AURELINO LEAL,BA,2902401,33472,
ba baianopolis,BAIANÓPOLIS,BA,2902500,33499,
ba baixa grande,BAIXA GRANDE,BA,2902609,33510,
ba banzae,BANZAÊ,BA,2902658,33529,
ba barra,BARRA,BA,2902708,33537,
ba barra da estiva,BARRA DA ESTIVA,BA,2902807,33553,
ba barra do choca,BARRA DO CHOÇA,BA,2902906,33570,
ba barra do mendes,BARRA DO MENDES,BA,2903003,33596,
ba barra do rocha,BARRA DO ROCHA,BA,2903102,33618,
ba barreiras,BARREIRAS,BA,2903201,33634,
ba barro alto,BARRO ALTO,BA,2903235,30759,
ba barro preto,BARRO PRETO,BA,2903300,33650,
ba barrocas,BARROCAS,BA,2903276,30775,
ba belmonte,BELMONTE,BA,2903409,33677,
ba belo campo,BELO CAMPO,BA,2903508,33693,
ba biritinga,BIRITINGA,BA,2903607,33715,
ba boa nova,BOA NOVA,BA,2903706,33731,
ba boa vista do tupim,BOA VISTA DO TUPIM,BA,2903805,33758,
ba bom jesus da lapa,BOM JESUS DA LAPA,BA,2903904,33774,
ba bom jesus da serra,BOM JESUS DA SERRA,BA,2903953,33782,
ba boninal,BONINAL,BA,2904001,33790,
ba bonito,BONITO,BA,2904050,33804,
ba boquira,BOQUIRA,BA,2904100,33812,
ba botupora,BOTUPORÃ,BA,2904209,33839,
ba brejoes,BREJÕES,BA,2904308,33855,
ba brejolandia,BREJOLÂNDIA,BA,2904407,33871,
ba brotas de macaubas,BROTAS DE MACAÚBAS,BA,2904506,33898,
ba brumado,BRUMADO,BA,2904605,33910,
ba buerarema,BUERAREMA,BA,2904704,33936,
ba buritirama,BURITIRAMA,BA,2904753,30791,
ba caatiba,CAATIBA,BA,2904803,33952,
ba cabaceiras do paraguacu,CABACEIRAS DO PARAGUAÇU,BA,2904852,33960,
ba cachoeira,CACHOEIRA,BA,2904902,33979,
ba cacule,CACULÉ,BA,2905008,33995,
ba caem,CAEM,BA,2905107,34010,
ba caetanos,CAETANOS,BA,2905156,34029,
ba caetite,CAETITÉ,BA,2905206,34037,
ba cafarnaum,CAFARNAUM,BA,2905305,34053,
ba cairu,CAIRU,BA,2905404,34070,
ba caldeirao grande,CALDEIRÃO GRANDE,BA,2905503,34096,
ba camacan,CAMACAN,BA,2905602,34118,
ba camacari,CAMAÇARI,BA,2905701,34134,
ba camamu,CAMAMU,BA,2905800,34150,
ba campo alegre de lourdes,CAMPO ALEGRE DE LOURDES,BA,2905909,34177,
ba campo formoso,CAMPO FORMOSO,BA,2906006,34193,
ba canapolis,CANÁPOLIS,BA,2906105,34215,
ba canarana,CANARANA,BA,2906204,34231,
ba canavieiras,CANAVIEIRAS,BA,2906303,34258,
ba candeal,CANDEAL,BA,2906402,34274,
ba candeias,CANDEIAS,BA,2906501,34290,
ba candiba,CANDIBA,BA,2906600,34312,
ba candido sales,CÂNDIDO SALES,BA,2906709,34339,
ba cansancao,CANSANÇÃO,BA,2906808,34355,
ba canudos,CANUDOS,BA,2906824,30856,
ba capela do alto alegre,CAPELA DO ALTO ALEGRE,BA,2906857,30813,
ba capim grosso,CAPIM GROSSO,BA,2906873,30830,
ba caraibas,CARAÍBAS,BA,2906899,34363,
ba caravelas,CARAVELAS,BA,2906907,34371,
ba cardeal da silva,CARDEAL DA SILVA,BA,2907004,34398,
ba carinhanha,CARINHANHA,BA,2907103,34410,
ba casa nova,CASA NOVA,BA,2907202,34436,
ba castro alves,CASTRO ALVES,BA,2907301,34452,
ba catolandia,CATOLÂNDIA,BA,2907400,34479,
ba catu,CATU,BA,2907509,34495,
ba caturama,CATURAMA,BA,2907558,34509,
ba central,CENTRAL,BA,2907608,34517,
ba chorrocho,CHORROCHÓ,BA,2907707,34533,
ba cicero dantas,CÍCERO DANTAS,BA,2907806,34550,
ba cipo,CIPÓ,BA,2907905,34576,
ba coaraci,COARACI,BA,2908002,34592,
ba cocos,COCOS,BA,2908101,34614,
ba conceicao da feira,CONCEIÇÃO DA FEIRA,BA,2908200,34630,
ba conceicao do almeida,CONCEIÇÃO DO ALMEIDA,BA,2908309,34657,
ba conceicao do coite,CONCEIÇÃO DO COITÉ,BA,2908408,34673,
ba conceicao do jacuipe,CONCEIÇÃO DO JACUÍPE,BA,2908507,34690,
ba conde,CONDE,BA,2908606,34711,
ba condeuba,CONDEÚBA,BA,2908705,34738,
ba contendas do sincora,CONTENDAS DO SINCORÁ,BA,2908804,34754,
ba coracao de maria,CORAÇÃO DE MARIA,BA,2908903,34770,
ba cordeiros,CORDEIROS,BA,2909000,34797,
ba coribe,CORIBE,BA,2909109,34819,
ba coronel joao sa,CORONEL JOÃO SÁ,BA,2909208,34835,
ba correntina,CORRENTINA,BA,2909307,34851,
ba cotegipe,COTEGIPE,BA,2909406,34878,
ba cravolandia,CRAVOLÂNDIA,BA,2909505,34894,
ba crisopolis,CRISÓPOLIS,BA,2909604,34916,
ba cristopolis,CRISTÓPOLIS,BA,2909703,34932,
ba cruz das almas,CRUZ DAS ALMAS,BA,2909802,34959,
ba curaca,CURAÇÁ,BA,2909901,34975,
ba dario meira,DÁRIO MEIRA,BA,2910008,34991,
ba dias davila,DIAS D'ÁVILA,BA,2910057,30872,
ba dom basilio,DOM BASÍLIO,BA,2910107,35017,
ba dom macedo costa,DOM MACEDO COSTA,BA,2910206,35033,
ba elisio medrado,ELÍSIO MEDRADO,BA,2910305,35050,
ba encruzilhada,ENCRUZILHADA,BA,2910404,35076,
ba entre rios,ENTRE RIOS,BA,2910503,35092,
ba erico cardoso,ÉRICO CARDOSO,BA,2900504,33090,
ba esplanada,ESPLANADA,BA,2910602,35114,
ba euclides da cunha,EUCLIDES DA CUNHA,BA,2910701,35130,
ba eunapolis,EUNÁPOLIS,BA,2910727,30058,
ba fatima,FÁTIMA,BA,2910750,30899,
ba feira da mata,FEIRA DA MATA,BA,2910776,35149,
ba feira de santana,FEIRA DE SANTANA,BA,2910800,35157,
ba filadelfia,FILADÉLFIA,BA,2910859,30910,
ba firmino alves,FIRMINO ALVES,BA,2910909,35173,
ba floresta azul,FLORESTA AZUL,BA,2911006,35190,
ba formosa do rio preto,FORMOSA DO RIO PRETO,BA,2911105,35211,
ba gandu,GANDU,BA,2911204,35238,
ba gaviao,GAVIÃO,BA,2911253,30937,
ba gentio do ouro,GENTIO DO OURO,BA,2911303,35254,
ba gloria,GLÓRIA,BA,2911402,35270,
ba gongogi,GONGOGI,BA,2911501,35297,
ba governador mangabeira,GOVERNADOR MANGABEIRA,BA,2911600,35319,
ba guajeru,GUAJERU,BA,2911659,30953,
ba guanambi,GUANAMBI,BA,2911709,35335,
ba guaratinga,GUARATINGA,BA,2911808,35351,
ba heliopolis,HELIÓPOLIS,BA,2911857,30970,
ba iacu,IAÇU,BA,2911907,35378,
ba ibiassuce,IBIASSUCÊ,BA,2912004,35394,
ba ibicarai,IBICARAÍ,BA,2912103,35416,
ba ibicoara,IBICOARA,BA,2912202,35432,
ba ibicui,IBICUÍ,BA,2912301,35459,
ba ibipeba,IBIPEBA,BA,2912400,35475,
ba ibipitanga,IBIPITANGA,BA,2912509,35513,
ba ibiquera,IBIQUERA,BA,2912608,35530,
ba ibirapitanga,IBIRAPITANGA,BA,2912707,35556,
ba ibirapua,IBIRAPUÃ,BA,2912806,35572,
ba ibirataia,IBIRATAIA,BA,2912905,35599,
ba ibitiara,IBITIARA,BA,2913002,35610,
ba ibitita,IBITITÁ,BA,2913101,35637,
ba ibotirama,IBOTIRAMA,BA,2913200,35653,
ba ichu,ICHU,BA,2913309,35670,
ba igapora,IGAPORÃ,BA,2913408,35696,
ba igrapiuna,IGRAPIÚNA,BA,2913457,35700,
ba iguai,IGUAÍ,BA,2913507,35718,
ba ilheus,ILHÉUS,BA,2913606,35734,
ba inhambupe,INHAMBUPE,BA,2913705,35750,
ba ipecaeta,IPECAETÁ,BA,2913804,35777,
ba ipiau,IPIAÚ,BA,2913903,35793,
ba ipira,IPIRÁ,BA,2914000,35815,
ba ipupiara,IPUPIARA,BA,2914109,35831,
ba irajuba,IRAJUBA,BA,2914208,35858,
ba iramaia,IRAMAIA,BA,2914307,35874,
ba iraquara,IRAQUARA,BA,2914406,35890,
ba irara,IRARÁ,BA,2914505,35912,
ba irece,IRECÊ,BA,2914604,35939,
ba itabela,ITABELA,BA,2914653,35947,
ba itaberaba,ITABERABA,BA,2914703,35955,
ba itabuna,ITABUNA,BA,2914802,35971,
ba itacare,ITACARÉ,BA,2914901,35998,
ba itaete,ITAETÉ,BA,2915007,36013,
ba itagi,ITAGI,BA,2915106,36030,
ba itagiba,ITAGIBÁ,BA,2915205,36056,
ba itagimirim,ITAGIMIRIM,BA,2915304,36072,
ba itaguacu da bahia,ITAGUAÇU DA BAHIA,BA,2915353,36080,
ba itaju do colonia,ITAJU DO COLÔNIA,BA,2915403,36099,
ba itajuipe,ITAJUÍPE,BA,2915502,36110,
ba itamaraju,ITAMARAJU,BA,2915601,36137,
ba itamari,ITAMARI,BA,2915700,36153,
ba itambe,ITAMBÉ,BA,2915809,36170,
ba itanagra,ITANAGRA,BA,2915908,36196,
ba itanhem,ITANHÉM,BA,2916005,36218,
ba itaparica,ITAPARICA,BA,2916104,36234,
ba itape,ITAPÉ,BA,2916203,36250,
ba itapebi,ITAPEBI,BA,2916302,36277,
ba itapetinga,ITAPETINGA,BA,2916401,36293,
ba itapicuru,ITAPICURU,BA,2916500,36315,
ba itapitanga,ITAPITANGA,BA,2916609,36331,
ba itaquara,ITAQUARA,BA,2916708,36358,
ba itarantim,ITARANTIM,BA,2916807,36374,
ba itatim,ITATIM,BA,2916856,36382,
ba itirucu,ITIRUÇU,BA,2916906,36390,
ba itiuba,ITIÚBA,BA,2917003,36412,
ba itororo,ITORORÓ,BA,2917102,36439,
ba ituacu,ITUAÇU,BA,2917201,36455,
ba itubera,ITUBERÁ,BA,2917300,36471,
ba iuiu,IUIU,BA,2917334,30660,
ba jaborandi,JABORANDI,BA,2917359,30678,
ba jacaraci,JACARACI,BA,2917409,36498,
ba jacobina,JACOBINA,BA,2917508,36510,
ba jaguaquara,JAGUAQUARA,BA,2917607,36536,
ba jaguarari,JAGUARARI,BA,2917706,36552,
ba jaguaripe,JAGUARIPE,BA,2917805,36579,
ba jandaira,JANDAÍRA,BA,2917904,36595,
ba jequie,JEQUIÉ,BA,2918001,36617,
ba jeremoabo,JEREMOABO,BA,2918100,36633,
ba jiquirica,JIQUIRIÇÁ,BA,2918209,36650,
ba jitauna,JITAÚNA,BA,2918308,36676,
ba joao dourado,JOÃO DOURADO,BA,2918357,30996,
ba juazeiro,JUAZEIRO,BA,2918407,36692,
ba jucurucu,JUCURUÇU,BA,2918456,36706,
ba jussara,JUSSARA,BA,2918506,36714,
ba jussari,JUSSARI,BA,2918555,30694,
ba jussiape,JUSSIAPE,BA,2918605,36730,
ba lafaiete coutinho,LAFAIETE COUTINHO,BA,2918704,36757,
ba lagoa real,LAGOA REAL,BA,2918753,36765,
ba laje,LAJE,BA,2918803,36773,
ba lajedao,LAJEDÃO,BA,2918902,36790,
ba lajedinho,LAJEDINHO,BA,2919009,36811,
ba lajedo do tabocal,LAJEDO DO TABOCAL,BA,2919058,36820,
ba lamarao,LAMARÃO,BA,2919108,36838,
ba lapao,LAPÃO,BA,2919157,39730,
ba lauro de freitas,LAURO DE FREITAS,BA,2919207,36854,
ba lencois,LENÇÓIS,BA,2919306,36870,
ba licinio de almeida,LICÍNIO DE ALMEIDA,BA,2919405,36897,
ba livramento de nossa senhora,LIVRAMENTO DE NOSSA SENHORA,BA,2919504,36919,
ba luis eduardo magalhaes,LUÍS EDUARDO MAGALHÃES,BA,2919553,30007,
ba macajuba,MACAJUBA,BA,2919603,36935,
ba macarani,MACARANI,BA,2919702,36951,
ba macaubas,MACAÚBAS,BA,2919801,36978,
ba macurure,MACURURÉ,BA,2919900,36994,
ba madre de deus,MADRE DE DEUS,BA,2919926,39748,
ba maetinga,MAETINGA,BA,2919959,39756,
ba maiquinique,MAIQUINIQUE,BA,2920007,37010,
ba mairi,MAIRI,BA,2920106,37036,
ba malhada,MALHADA,BA,2920205,37052,
ba malhada de pedras,MALHADA DE PEDRAS,BA,2920304,37079,
ba manoel vitorino,MANOEL VITORINO,BA,2920403,37095,
ba mansidao,MANSIDÃO,BA,2920452,39772,
ba maracas,MARACÁS,BA,2920502,37117,
ba maragogipe,MARAGOGIPE,BA,2920601,37133,
ba marau,MARAÚ,BA,2920700,37150,
ba marcionilio souza,MARCIONÍLIO SOUZA,BA,2920809,37176,
ba mascote,MASCOTE,BA,2920908,37192,
ba mata de sao joao,MATA DE SÃO JOÃO,BA,2921005,37214,
ba matina,MATINA,BA,2921054,37222,
ba medeiros neto,MEDEIROS NETO,BA,2921104,37230,
ba miguel calmon,MIGUEL CALMON,BA,2921203,37257,
ba milagres,MILAGRES,BA,2921302,37273,
ba mirangaba,MIRANGABA,BA,2921401,37290,
ba mirante,MIRANTE,BA,2921450,37303,
ba monte santo,MONTE SANTO,BA,2921500,37311,
ba morpara,MORPARÁ,BA,2921609,37338,
ba morro do chapeu,MORRO DO CHAPÉU,BA,2921708,37354,
ba mortugaba,MORTUGABA,BA,2921807,37370,
ba mucuge,MUCUGÊ,BA,2921906,37397,
ba mucuri,MUCURI,BA,2922003,37419,
ba mulungu do morro,MULUNGU DO MORRO,BA,2922052,37427,
ba mundo novo,MUNDO NOVO,BA,2922102,37435,
ba muniz ferreira,MUNIZ FERREIRA,BA,2922201,37451,
ba muquem do sao francisco,MUQUÉM DO SÃO FRANCISCO,BA,2922250,37460,
ba muritiba,MURITIBA,BA,2922300,37478,
ba mutuipe,MUTUÍPE,BA,2922409,37494,
ba nazare,NAZARÉ,BA,2922508,37516,
ba nilo pecanha,NILO PEÇANHA,BA,2922607,37532,
ba nordestina,NORDESTINA,BA,2922656,39799,
ba nova canaa,NOVA CANAÃ,BA,2922706,37559,
ba nova fatima,NOVA FÁTIMA,BA,2922730,37567,
ba nova ibia,NOVA IBIÁ,BA,2922755,39969,
ba nova itarana,NOVA ITARANA,BA,2922805,37575,
ba nova redencao,NOVA REDENÇÃO,BA,2922854,37583,
ba nova soure,NOVA SOURE,BA,2922904,37591,
ba nova vicosa,NOVA VIÇOSA,BA,2923001,37613,
ba novo horizonte,NOVO HORIZONTE,BA,2923035,39942,
ba novo triunfo,NOVO TRIUNFO,BA,2923050,37621,
ba olindina,OLINDINA,BA,2923100,37630,
ba oliveira dos brejinhos,OLIVEIRA DOS BREJINHOS,BA,2923209,37656,
ba ouricangas,OURIÇANGAS,BA,2923308,37672,
ba ourolandia,OUROLÂNDIA,BA,2923357,37680,
